"Supplied Name","guid","scientificName","family","kingdom","vernacular name","Grouping"
"Leptoperla kallistae","urn:lsid:biodiversity.org.au:afd.taxon:6f3c8873-64e9-4878-8994-3dd93b28bba2","Leptoperla kallistae","Gripopterygidae",,"Kallista Flightless Stonefly","Aquatic Fauna"
"Triaenodes uvida","urn:lsid:biodiversity.org.au:afd.taxon:5384f36e-ea7d-4d9c-bece-7aa234f0a4d7","Triaenodes uvida","Leptoceridae",,"Caddisfly","Aquatic Fauna"
"Synamphisopus ambiguus","urn:lsid:biodiversity.org.au:afd.taxon:1ba1a321-0be9-45e8-8a76-5b25a1c12eb7","Synamphisopus ambiguus","Amphisopodidae",,"Phreatoicid Isopod","Aquatic Fauna"
"Caladenia arenaria","http://id.biodiversity.org.au/node/apni/2910924","Caladenia arenaria","Orchidaceae",,"Sandhill Spider-orchid","Flora"
"Calochilus richiae","http://id.biodiversity.org.au/node/apni/2898684","Calochilus richiae","Orchidaceae",,,"Flora"
"Callocephalon fimbriatum","urn:lsid:biodiversity.org.au:afd.taxon:56514a28-86db-4296-be0f-5f96f46e07c4","Callocephalon fimbriatum","Cacatuidae",,,"Terrestrial Fauna (nesting and/or breeding records only)"
"Hyridella (Protohyridella) glenelgensis","urn:lsid:biodiversity.org.au:afd.taxon:51ffc3ae-1479-4a4c-8f34-273b1f01695e","Hyridella (Protohyridella) glenelgensis","Hyriidae",,,"Aquatic Fauna"
"Euastacus bidawalus","urn:lsid:biodiversity.org.au:afd.taxon:954d30f1-084d-473c-9293-a692d63cc4a7","Euastacus bidawalus","Parastacidae",,"East Gippsland Spiny Crayfish","Aquatic Fauna"
"Wundacaenis flabellum","urn:lsid:biodiversity.org.au:afd.taxon:5aa55309-42b8-4c40-8aec-c24398b43afe","Wundacaenis flabellum","Caenidae",,"Mayfly","Aquatic Fauna"
"Engaeus sericatus","urn:lsid:biodiversity.org.au:afd.taxon:77cfbedb-84ca-4c17-ae4c-82101c4fcf3a","Engaeus sericatus","Parastacidae",,"Hairy Burrowing Crayfish","Aquatic Fauna"
"Morelia spilota spilota","urn:lsid:biodiversity.org.au:afd.taxon:8ee87cd8-b82b-45d1-aa78-a1a6f4843f26","Morelia spilota spilota","Pythonidae",,"Diamond Python","Terrestrial Fauna (nesting and/or breeding records only)"
"Engaeus mallacoota","urn:lsid:biodiversity.org.au:afd.taxon:f3b4aaa3-21cb-49d6-b5b8-773772569190","Engaeus mallacoota","Parastacidae",,"Mallacoota Burrowing Crayfish","Aquatic Fauna"
"Borya mirabilis","http://id.biodiversity.org.au/node/apni/2900081","Borya mirabilis","Boryaceae",,"Grampians Pincushion-lily","Flora"
"Pterostylis valida","http://id.biodiversity.org.au/node/apni/2913235","Pterostylis valida","Orchidaceae",,"Robust Greenhood","Flora"
