"Supplied Name","guid","scientificName","family","kingdom","family","genus","order","taxonRank","class"
"Carmichaelia kirkii Hook.f. var. kirkii","NZOR-4-17630","Carmichaelia kirkii","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","variety","Magnoliopsida"
"Carex secta var. tenuiculmis Petrie","NZOR-4-11710","Carex tenuiculmis","Cyperaceae",,"Cyperaceae","Carex","Poales","variety","Magnoliopsida"
"Huttonella prona (Kirk) Kirk","NZOR-4-15759","Carmichaelia juncea","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Peraxilla colensoi (Hook.f.) Tiegh.","NZOR-4-47250","Peraxilla colensoi","Loranthaceae",,"Loranthaceae","Peraxilla","Santalales","species","Magnoliopsida"
"Myosotis traversii var. cinerascens (Petrie) L.B.Moore","NZOR-4-15773","Myosotis traversii var. cinerascens","Boraginaceae",,"Boraginaceae","Myosotis",,"variety","Magnoliopsida"
"Isolepis lenticularis R.Br.","http://id.biodiversity.org.au/node/apni/2897656","Isolepis fluitans","Cyperaceae",,"Cyperaceae","Isolepis","Poales","species","Magnoliopsida"
"Brachyglottis cockaynei (G.Simpson & J.S.Thomson) B.Nord.","NZOR-4-1457","Brachyglottis cockaynei","Asteraceae",,"Compositae","Brachyglottis","Asterales","species","Magnoliopsida"
"Juncus gunnii Hook.f.","http://id.biodiversity.org.au/node/apni/2887979","Juncus pauciflorus","Juncaceae",,"Juncaceae","Juncus","Poales","species","Magnoliopsida"
"Urostemon kirkii (Kirk) B.Nord. var. kirkii","ALA_Urostemon_kirkii_Kirk_B_Nord_var_kirkii","Urostemon kirkii (Kirk) B.Nord. var. kirkii",,,"Compositae","Brachyglottis","Asterales","variety","Magnoliopsida"
"Lobelia carens Heenan","NZOR-4-126029","Lobelia carens","Campanulaceae",,"Campanulaceae","Lobelia","Asterales","species","Magnoliopsida"
"Rapanea coxii (Cockayne) W.R.B.Oliver","NZOR-4-35561","Myrsine coxii","Primulaceae",,"Primulaceae","Myrsine","Ericales","species","Magnoliopsida"
"Nephrolepis flexuosa Colenso","http://id.biodiversity.org.au/node/apni/2890802","Nephrolepis flexuosa","Lomariopsidaceae",,"Lomariopsidaceae","Nephrolepis","Polypodiales","species","Polypodiopsida"
"Gingidium rosaefolium (Hook.) J.W.Dawson","NZOR-4-10257","Scandia rosifolia","Umbelliferae",,"Umbelliferae","Scandia","Apiales","species","Magnoliopsida"
"Tupeia pubigera Miq.","NZOR-4-116467","Tupeia antarctica","Loranthaceae",,"Loranthaceae","Tupeia","Santalales","species","Magnoliopsida"
"Oryzopsis rigida (Steud.) Zotov","NZOR-4-33397","Anemanthele lessoniana","Poaceae",,"Gramineae","Anemanthele","Poales","species","Magnoliopsida"
"Aciphylla subflabellata W.R.B.Oliv.","NZOR-4-130353","Aciphylla subflabellata","Apiaceae",,"Umbelliferae","Aciphylla","Apiales","species","Magnoliopsida"
"Planchonella novo-zelandica (F.Muell.) Allan","ALA_Planchonella_novo_zelandica_F_Muell_Allan","Planchonella novo-zelandica (F.Muell.) Allan",,,"Sapotaceae","Planchonella","Ericales","species","Magnoliopsida"
"Ranunculus acraeus Heenan & P.J.Lockh.","NZOR-4-4555","Ranunculus acraeus","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","species","Magnoliopsida"
"Lepidosperma neozelandicum (Kük.) R.L.Barrett & K.L.Wilson","NZOR-4-123314","Lepidosperma neozelandicum","Cyperaceae",,"Cyperaceae","Lepidosperma","Poales","species","Magnoliopsida"
"Davallia tasmanii subsp. cristata von Konrat, Braggins & de Lange","NZOR-4-94422","Davallia tasmanii subsp. cristata","Davalliaceae",,"Davalliaceae","Davallia","Polypodiales","subspecies","Polypodiopsida"
"Tupeia cunninghamii Miq.","NZOR-4-116467","Tupeia antarctica","Loranthaceae",,"Loranthaceae","Tupeia","Santalales","species","Magnoliopsida"
"Olearia chathamica var. dendyi Cockayne","NZOR-4-49785","Olearia chathamica","Asteraceae",,"Compositae","Olearia","Asterales","variety","Magnoliopsida"
"Aspidium unitum var. glabrum Mett.","ALA_Aspidium_unitum_var_glabrum_Mett","Aspidium unitum var. glabrum Mett.",,,"Thelypteridaceae","Cyclosorus","Polypodiales","variety","Polypodiopsida"
"Simplicia laxa var. buchananii Zotov","NZOR-4-79631","Simplicia buchananii","Poaceae",,"Gramineae","Simplicia","Poales","variety","Magnoliopsida"
"Trisetum antarcticum (G.Forst.) Trin. subsp. antarcticum","ALA_Trisetum_antarcticum_G_Forst_Trin_subsp_antarcticum","Trisetum antarcticum (G.Forst.) Trin. subsp. antarcticum",,,"Gramineae","Trisetum","Poales","subspecies","Magnoliopsida"
"Carmichaelia stevensonii (Cheeseman) Heenan","NZOR-4-63267","Carmichaelia stevensonii","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Brachyglottis sciadophila (Raoul) B.Nord.","NZOR-4-30389","Brachyglottis sciadophila","Asteraceae",,"Compositae","Brachyglottis","Asterales","species","Magnoliopsida"
"Utricularia protrusa Hook.f.","http://id.biodiversity.org.au/node/apni/2906724","Utricularia australis","Lentibulariaceae",,"Lentibulariaceae","Utricularia","Lamiales","species","Magnoliopsida"
"Carmichaelia astonii G.Simpson","NZOR-4-26099","Carmichaelia astonii","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Myosotis saxosa Hook.f.","NZOR-4-32824","Myosotis saxosa","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Libertia cranwelliae Blanchon, B.G.Murray & Braggins","NZOR-4-43505","Libertia cranwelliae","Iridaceae",,"Iridaceae","Libertia","Asparagales","species","Magnoliopsida"
