"Supplied Name","guid","scientificName","family","kingdom","family","genus","order","taxonRank","class"
"Tecomanthe speciosa W.R.B.Oliv.","NZOR-4-42398","Tecomanthe speciosa","Bignoniaceae",,"Bignoniaceae","Tecomanthe","Lamiales","species","Magnoliopsida"
"Pimelea mesoa subsp. macra C.J.Burrows","NZOR-4-4816","Pimelea mesoa subsp. macra","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","subspecies","Magnoliopsida"
"Geranium carolinianum var. australe (Benth.) Fosberg","http://id.biodiversity.org.au/node/apni/7387836","Geranium solanderi","Geraniaceae",,"Geraniaceae","Geranium","Geraniales","variety","Magnoliopsida"
"Picris burbidgeae S.Holzapfel","http://id.biodiversity.org.au/node/apni/2894307","Picris burbidgeae","Asteraceae",,"Compositae","Picris","Asterales","species","Magnoliopsida"
"Kirkophytum lyallii (J.B.Armstr.) Allan","NZOR-4-69549","Stilbocarpa lyallii","Umbelliferae",,"Umbelliferae","Stilbocarpa","Apiales","species","Magnoliopsida"
"Atriplex billardierei (Moq.) Hook.f.","http://id.biodiversity.org.au/node/apni/2916905","Atriplex billardierei","Chenopodiaceae",,"Amaranthaceae","Atriplex","Caryophyllales","species","Magnoliopsida"
"Chenopodium detestans Kirk","http://id.biodiversity.org.au/node/apni/2904529","Chenopodium detestans","Chenopodiaceae",,"Amaranthaceae","Chenopodium","Caryophyllales","species","Magnoliopsida"
"Carex inopinata V.J.Cook","NZOR-4-58714","Carex inopinata","Cyperaceae",,"Cyperaceae","Carex","Poales","species","Magnoliopsida"
"Euphrasia wettsteiniana Du Rietz","NZOR-4-283","Euphrasia wettsteiniana","Scrophulariaceae",,"Orobanchaceae","Euphrasia","Lamiales","species","Magnoliopsida"
"Zostera muelleri subsp. novazelandica (Setch.) S.W.L.Jacobs","NZOR-4-35182","Zostera muelleri subsp. novazelandica","Zosteraceae",,"Zosteraceae","Zostera","Alismatales","subspecies","Magnoliopsida"
"Carmichaelia suteri Colenso","NZOR-4-97851","Carmichaelia uniflora","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Plagianthus chathamicus Cockayne","NZOR-4-11814","Plagianthus regius subsp. chathamicus","Malvaceae",,"Malvaceae","Plagianthus","Malvales","species","Magnoliopsida"
"Pimelea ignota C.J.Burrows & Courtney","NZOR-4-93176","Pimelea ignota","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Coprosma intertexta G.Simpson","NZOR-4-121699","Coprosma intertexta","Rubiaceae",,"Rubiaceae","Coprosma","Gentianales","species","Magnoliopsida"
"Pachycladon exile (Heenan) Heenan & A.D.Mitch.","NZOR-4-62964","Pachycladon exile",,,"Cruciferae","Pachycladon","Brassicales","species","Magnoliopsida"
"Isolepis intricata Steud.","http://id.biodiversity.org.au/node/apni/2897656","Isolepis fluitans","Cyperaceae",,"Cyperaceae","Isolepis","Poales","species","Magnoliopsida"
"Deschampsia cespitosa (L.) P.Beauv.","http://id.biodiversity.org.au/node/apni/2909801","Deschampsia cespitosa","Poaceae",,"Gramineae","Deschampsia","Poales","species","Magnoliopsida"
"Lepidium sisymbrioides sensu Garnock-Jones in Webb et al. subsp. sisymbrioides","ALA_Lepidium_sisymbrioides_sensu_Garnock_Jones_in_Webb_et_al_subsp_sisymbrioides","Lepidium sisymbrioides sensu Garnock-Jones in Webb et al. subsp. sisymbrioides",,,"Cruciferae","Lepidium","Brassicales","subspecies","Magnoliopsida"
"Pittosporum serpentinum (de Lange) de Lange","NZOR-4-60853","Pittosporum serpentinum","Pittosporaceae",,"Pittosporaceae","Pittosporum","Apiales","species","Magnoliopsida"
"Juncus holoschoenus R.Br. var. holoschoenus","NZOR-4-129508","Juncus holoschoenus R.Br. var. holoschoenus","Juncaceae",,"Juncaceae","Juncus","Poales","variety","Magnoliopsida"
"Polygonum ephedroides Hook.f.","NZOR-4-55198","Muehlenbeckia ephedroides","Polygonaceae",,"Polygonaceae","Muehlenbeckia","Caryophyllales","species","Magnoliopsida"
"Elymus tenuis (Buchanan) Á.Löve & Connor","NZOR-4-89831","Connorochloa tenuis","Poaceae",,"Gramineae","Connorochloa","Poales","species","Magnoliopsida"
"Logania depressa Hook.f.","NZOR-4-125572","Logania depressa","Loganiaceae",,"Loganiaceae","Logania","Gentianales","species","Magnoliopsida"
"Erechtites quadridentata var. lanceola Kirk","NZOR-4-317","Senecio dunedinensis","Asteraceae",,"Compositae","Senecio","Asterales","variety","Magnoliopsida"
"Deschampsia cespitosa var. macrantha Hack.","http://id.biodiversity.org.au/node/apni/2909801","Deschampsia cespitosa","Poaceae",,"Gramineae","Deschampsia","Poales","variety","Magnoliopsida"
"Ackama nubicola de Lange","NZOR-4-22048","Ackama nubicola","Cunoniaceae",,"Cunoniaceae","Ackama","Oxalidales","species","Magnoliopsida"
"Pterostylis irwinii D.L.Jones, Molloy & M.A.Clem.","NZOR-4-76314","Pterostylis irwinii","Orchidaceae",,"Orchidaceae","Pterostylis","Asparagales","species","Magnoliopsida"
"Lepidosperma filiforme var. neozelandicum Kük.","NZOR-4-129672","Lepidosperma filiforme var. neozelandicum","Cyperaceae",,"Cyperaceae","Lepidosperma","Poales","variety","Magnoliopsida"
"Crassula peduncularis (Sm.) F.Meigen","http://id.biodiversity.org.au/node/apni/2895654","Crassula peduncularis","Crassulaceae",,"Crassulaceae","Crassula","Saxifragales","species","Magnoliopsida"
"Calochilus herbaceus Lindl.","NZOR-4-110460","Calochilus herbaceus","Orchidaceae",,"Orchidaceae","Calochilus","Asparagales","species","Magnoliopsida"
"Ranunculus depressus Kirk","NZOR-4-129670","Ranunculus brevis","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","species","Magnoliopsida"
"Erechtites kermadecensis (Belcher) Allan","NZOR-4-111844","Senecio kermadecensis","Asteraceae",,"Compositae","Senecio","Asterales","species","Magnoliopsida"
"Myosotis decora (Kirk) ex Cheeseman","ALA_Myosotis_decora_Kirk_ex_Cheeseman","Myosotis decora (Kirk) ex Cheeseman",,,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Ranunculus pilifera (F.J.F.Fisher) Heenan & P.J.Lockh.","NZOR-4-2723","Ranunculus pilifera","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","species","Magnoliopsida"
"Cheesemania fastigiata var. stellata Allan","NZOR-4-51416","Pachycladon stellatum",,,"Cruciferae","Pachycladon","Brassicales","variety","Magnoliopsida"
"Ranunculus recens Kirk","NZOR-4-66892","Ranunculus recens","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","species","Magnoliopsida"
"Lepidium oleraceum var. frondosum Kirk","NZOR-4-80992","Lepidium oleraceum var. frondosum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","variety","Magnoliopsida"
"Thelymitra daltonii R.S.Rogers","http://id.biodiversity.org.au/node/apni/2900535","Thelymitra matthewsii","Orchidaceae",,"Orchidaceae","Thelymitra","Asparagales","species","Magnoliopsida"
"Lepidium crassum Heenan & de Lange","NZOR-4-86567","Lepidium crassum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Soliva tenella A.Cunn.","NZOR-4-100027","Leptinella tenella","Asteraceae",,"Compositae","Leptinella","Asterales","species","Magnoliopsida"
"Lepidium oleraceum G.Forst. ex Sparrm. var. oleraceum","NZOR-4-2793","Lepidium oleraceum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","variety","Magnoliopsida"
"Parsonsia praeruptis Heads & de Lange","NZOR-4-127857","Parsonsia praeruptis","Apocynaceae",,"Apocynaceae","Parsonsia","Gentianales","species","Magnoliopsida"
"Geranium retrorsum L'Hér. ex DC.","http://id.biodiversity.org.au/node/apni/2901610","Geranium retrorsum","Geraniaceae",,"Geraniaceae","Geranium","Geraniales","species","Magnoliopsida"
"Ophioglossum vulgatum var. pedunculosum (Desv.) Domin","http://id.biodiversity.org.au/node/apni/2902042","Ophioglossum costatum","Ophioglossaceae",,"Ophioglossaceae","Ophioglossum","Ophioglossales","variety","Psilotopsida"
"Pimelea actea C.J.Burrows","NZOR-4-79872","Pimelea actea","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Elytranthe flavida (Tiegh.) Engl.","NZOR-4-81830","Alepis flavida","Loranthaceae",,"Loranthaceae","Alepis","Santalales","species","Magnoliopsida"
"Lycopodium drummondii Spring","http://id.biodiversity.org.au/node/apni/2905113","Lycopodiella serpentina","Lycopodiaceae",,"Lycopodiaceae","Lycopodiella","Lycopodiales","species","Lycopodiopsida"
"Pachycladon fasciarium Heenan","NZOR-4-120458","Pachycladon fasciarium",,,"Cruciferae","Pachycladon","Brassicales","species","Magnoliopsida"
"Tupeia antarctica (G.Forst.) Cham. & Schltdl.","NZOR-4-116467","Tupeia antarctica","Loranthaceae",,"Loranthaceae","Tupeia","Santalales","species","Magnoliopsida"
"Atriplex buchananii var. tenuicaulis Petrie","NZOR-4-98572","Atriplex buchananii","Chenopodiaceae",,"Amaranthaceae","Atriplex","Caryophyllales","variety","Magnoliopsida"
"Ptisana salicina (Sm.) Murdock","http://id.biodiversity.org.au/node/apni/2919978","Ptisana salicina","Marattiaceae",,"Marattiaceae","Ptisana","Marattiales","species","Marattiopsida"
"Urtica lucifuga var. linearifolia Hook.f.","http://id.biodiversity.org.au/node/apni/2920322","Urtica incisa","Urticaceae",,"Urticaceae","Urtica","Rosales","variety","Magnoliopsida"
"Carex cirrhosa Berggr.","NZOR-4-8628","Carex cirrhosa","Cyperaceae",,"Cyperaceae","Carex","Poales","species","Magnoliopsida"
"Lepidium juvencum Heenan & de Lange","NZOR-4-114866","Lepidium juvencum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Hemionitis leptophylla (L.) Lag.","http://id.biodiversity.org.au/node/apni/2911389","Anogramma leptophylla","Pteridaceae",,"Pteridaceae","Anogramma","Polypodiales","species","Polypodiopsida"
"Clianthus maximus Colenso","NZOR-4-103915","Clianthus maximus","Leguminosae",,"Leguminosae","Clianthus","Fabales","species","Magnoliopsida"
"Pimelea sericeovillosa Hook.f. subsp. sericeovillosa","NZOR-4-37551","Pimelea sericeovillosa Hook.f. subsp. sericeovillosa","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","subspecies","Magnoliopsida"
"Hebe breviracemosa (W.R.B.Oliv.) Andersen","NZOR-4-14290","Hebe breviracemosa","Plantaginaceae",,"Plantaginaceae","Hebe","Lamiales","species","Magnoliopsida"
"Pteris interrupta Willd.","http://id.biodiversity.org.au/node/apni/2906665","Cyclosorus interruptus","Thelypteridaceae",,"Thelypteridaceae","Cyclosorus","Polypodiales","species","Polypodiopsida"
"Epilobium haloragifolium sensu Kirk","ALA_Epilobium_haloragifolium_sensu_Kirk","Epilobium haloragifolium sensu Kirk",,,"Onagraceae","Epilobium","Myrtales","species","Magnoliopsida"
"Utricularia australis R.Br.","http://id.biodiversity.org.au/node/apni/2906724","Utricularia australis","Lentibulariaceae",,"Lentibulariaceae","Utricularia","Lamiales","species","Magnoliopsida"
"Traversia baccharoides Hook.f.","NZOR-4-55306","Traversia baccharoides","Asteraceae",,"Compositae","Traversia","Asterales","species","Magnoliopsida"
"Lepidium oleraceum G.Forst. ex Sparrm.","NZOR-4-2793","Lepidium oleraceum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Loranthus fieldii Buchanan","NZOR-4-71548","Peraxilla tetrapetala","Loranthaceae",,"Loranthaceae","Peraxilla","Santalales","species","Magnoliopsida"
"Ranunculus haastii Hook.f. subsp. haastii","ALA_Ranunculus_haastii_Hook_f_subsp_haastii","Ranunculus haastii Hook.f. subsp. haastii",,,"Ranunculaceae","Ranunculus","Ranunculales","subspecies","Magnoliopsida"
"Brachyscome linearis (Petrie) Druce","NZOR-4-20560","Brachyscome linearis","Asteraceae",,"Compositae","Brachyscome","Asterales","species","Magnoliopsida"
"Lycopodium carolinianum sensu Hook.f.","ALA_Lycopodium_carolinianum_sensu_Hook_f","Lycopodium carolinianum sensu Hook.f.",,,"Lycopodiaceae","Lycopodiella","Lycopodiales","species","Lycopodiopsida"
"Senecio lautus var. ? macrocephalus Hook.f.","ALA_Senecio_lautus_var_macrocephalus_Hook_f","Senecio lautus var. ? macrocephalus Hook.f.",,,"Compositae","Senecio","Asterales","variety","Magnoliopsida"
"Acaena microphylla var. depressa (Kirk) Kirk","NZOR-4-22131","Acaena buchananii","Rosaceae",,"Rosaceae","Acaena","Rosales","variety","Magnoliopsida"
"Nephrodium unitum sensu Hook.f.","ALA_Nephrodium_unitum_sensu_Hook_f","Nephrodium unitum sensu Hook.f.",,,"Thelypteridaceae","Cyclosorus","Polypodiales","species","Polypodiopsida"
"Lepidium incisium Banks & Sol. ex Hook.f.","http://id.biodiversity.org.au/node/apni/2892260","Lepidium flexicaule","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Lepidium tenuicaule var. australe (Kirk) Kirk","NZOR-4-64527","Lepidium tenuicaule","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","variety","Magnoliopsida"
"Lobelia ionantha Heenan","ALA_Lobelia_ionantha_Heenan","Lobelia ionantha Heenan",,,"Campanulaceae","Lobelia","Asterales","species","Magnoliopsida"
"Myosotis cheesemanii Petrie","NZOR-4-83322","Myosotis cheesemanii","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Myosotis brevis de Lange & Barkla","NZOR-4-60815","Myosotis brevis","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Muehlenbeckia astonii Petrie","NZOR-4-105974","Muehlenbeckia astonii","Polygonaceae",,"Polygonaceae","Muehlenbeckia","Caryophyllales","species","Magnoliopsida"
"Loranthus flavidus Hook.f.","NZOR-4-81830","Alepis flavida","Loranthaceae",,"Loranthaceae","Alepis","Santalales","species","Magnoliopsida"
"Sicyos angulatus sensu New Zealand Botanists","ALA_Sicyos_angulatus_sensu_New_Zealand_Botanists","Sicyos angulatus sensu New Zealand Botanists",,,"Cucurbitaceae","Sicyos","Cucurbitales","species","Magnoliopsida"
"Solanum cheesemanii Herasim.","NZOR-4-23062","Solanum aviculare G.Forst. var. aviculare","Solanaceae",,"Solanaceae","Solanum","Solanales","species","Magnoliopsida"
"Lycopodium sanguisorba Spring","http://id.biodiversity.org.au/node/apni/2899597","Phylloglossum drummondii","Lycopodiaceae",,"Lycopodiaceae","Phylloglossum","Lycopodiales","species","Lycopodiopsida"
"Thlaspi oleraceum Poir.","NZOR-4-2793","Lepidium oleraceum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Myrsine aquilonia  de Lange & Heenan","NZOR-4-22328","Myrsine aquilonia","Primulaceae",,"Primulaceae","Myrsine","Ericales","species","Magnoliopsida"
"Isolepis fluitans (L.) R.Br. var. fluitans","NZOR-4-128517","Isolepis fluitans (L.) R.Br. var. fluitans","Cyperaceae",,"Cyperaceae","Isolepis","Poales","variety","Magnoliopsida"
"Lepidium banksii Kirk","NZOR-4-21941","Lepidium banksii","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Ranunculus paucifolius Kirk","NZOR-4-100986","Ranunculus crithmifolius","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","species","Magnoliopsida"
"Lobelia fatiscens Heenan","NZOR-4-88769","Lobelia fatiscens","Campanulaceae",,"Campanulaceae","Lobelia","Asterales","species","Magnoliopsida"
"Tillaea peduncularis Sm.","http://id.biodiversity.org.au/node/apni/2895654","Crassula peduncularis","Crassulaceae",,"Crassulaceae","Crassula","Saxifragales","species","Magnoliopsida"
"Senecio dunedinensis Belcher","NZOR-4-317","Senecio dunedinensis","Asteraceae",,"Compositae","Senecio","Asterales","species","Magnoliopsida"
"Hypericum japonicum sensu Allan","ALA_Hypericum_japonicum_sensu_Allan","Hypericum japonicum sensu Allan",,,"Hypericaceae","Hypericum","Malpighiales","species","Magnoliopsida"
"Platyloma falcata (R.Br.) J.Sm.","http://id.biodiversity.org.au/node/apni/2915450","Pellaea falcata","Pteridaceae",,"Pteridaceae","Pellaea","Polypodiales","species","Polypodiopsida"
"Euchiton ensifer (D.G.Drury) Anderb.","NZOR-4-45304","Euchiton ensifer","Asteraceae",,"Compositae","Euchiton","Asterales","species","Magnoliopsida"
"Lepidium solandri Kirk","NZOR-4-41303","Lepidium solandri","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Poa spania Edgar & Molloy","NZOR-4-127181","Poa spania","Poaceae",,"Gramineae","Poa","Poales","species","Magnoliopsida"
"Atriplex buchananii (Kirk) Cheeseman","NZOR-4-98572","Atriplex buchananii","Chenopodiaceae",,"Amaranthaceae","Atriplex","Caryophyllales","species","Magnoliopsida"
"Carmichaelia enysii Kirk var. enysii","NZOR-4-70","Carmichaelia nana","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","variety","Magnoliopsida"
"Sicyos australis sensu Sykes in Webb et al.","ALA_Sicyos_australis_sensu_Sykes_in_Webb_et_al","Sicyos australis sensu Sykes in Webb et al.",,,"Cucurbitaceae","Sicyos","Cucurbitales","species","Magnoliopsida"
"Lepidium sisymbrioides Hook.f.","NZOR-4-79637","Lepidium sisymbrioides","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Pimelea aridula Cockayne var. aridula","NZOR-4-50081","Pimelea aridula Cheeseman subsp. aridula","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","variety","Magnoliopsida"
"Pouteria costata (Endl.) Baehni","http://id.biodiversity.org.au/node/apni/2900808","Planchonella costata","Sapotaceae",,"Sapotaceae","Planchonella","Ericales","species","Magnoliopsida"
"Myoporum semotum Heenan & de Lange","NZOR-4-99157","Myoporum semotum","Scrophulariaceae",,"Scrophulariaceae","Myoporum","Lamiales","species","Magnoliopsida"
"Anthophyllum urvillei Steud.","NZOR-4-100283","Ficinia spiralis","Cyperaceae",,"Cyperaceae","Ficinia","Poales","species","Magnoliopsida"
"Nephrodium inaequilaterum Colenso","http://id.biodiversity.org.au/node/apni/2906665","Cyclosorus interruptus","Thelypteridaceae",,"Thelypteridaceae","Cyclosorus","Polypodiales","species","Polypodiopsida"
"Spiranthes lancea sensu Hatch","ALA_Spiranthes_lancea_sensu_Hatch","Spiranthes lancea sensu Hatch",,,"Orchidaceae","Spiranthes","Asparagales","species","Magnoliopsida"
"Carmichaelia curta var. glabra G.Simpson","NZOR-4-11737","Carmichaelia curta","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","variety","Magnoliopsida"
"Poa billardierei (Spreng.) St.-Yves","http://id.biodiversity.org.au/node/apni/2908237","Poa billardierei","Poaceae",,"Gramineae","Poa","Poales","species","Magnoliopsida"
"Triodia billardierei Spreng.","http://id.biodiversity.org.au/node/apni/2908237","Poa billardierei","Poaceae",,"Gramineae","Poa","Poales","species","Magnoliopsida"
"Aira australis Raoul","http://id.biodiversity.org.au/node/apni/2909801","Deschampsia cespitosa","Poaceae",,"Gramineae","Deschampsia","Poales","species","Magnoliopsida"
"Coprosma acerosa f. arenaria Kirk","NZOR-4-120667","Coprosma acerosa","Rubiaceae",,"Rubiaceae","Coprosma","Gentianales","forma","Magnoliopsida"
"Cotula rotundata (Cheeseman) D.G.Lloyd","NZOR-4-91521","Leptinella rotundata","Asteraceae",,"Compositae","Leptinella","Asterales","species","Magnoliopsida"
"Cardamine divaricata Hook.f.","ALA_Cardamine_divaricata_Hook_f","Cardamine divaricata Hook.f.",,,"Cruciferae","Rorippa","Brassicales","species","Magnoliopsida"
"Desmoschoenus spiralis (A.Rich.) Hook.f.","NZOR-4-100283","Ficinia spiralis","Cyperaceae",,"Cyperaceae","Ficinia","Poales","species","Magnoliopsida"
"Spiranthes sinensis sensu Rupp & Hatch","ALA_Spiranthes_sinensis_sensu_Rupp_Hatch","Spiranthes sinensis sensu Rupp & Hatch",,,"Orchidaceae","Spiranthes","Asparagales","species","Magnoliopsida"
"Pimelea orthia C.J.Burrows & Thorsen subsp. orthia","NZOR-4-44722","Pimelea orthia C.J.Burrows & Thorsen subsp. orthia","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","subspecies","Magnoliopsida"
"Geranium pilosum sensu Allan","ALA_Geranium_pilosum_sensu_Allan","Geranium pilosum sensu Allan",,,"Geraniaceae","Geranium","Geraniales","species","Magnoliopsida"
"Gymnogramma novae-zelandiae Colenso","http://id.biodiversity.org.au/node/apni/2911389","Anogramma leptophylla","Pteridaceae",,"Pteridaceae","Anogramma","Polypodiales","species","Polypodiopsida"
"Austrodanthonia mera (Connor & Edgar) H.P.Linder","NZOR-4-106593","Rytidosperma merum","Poaceae",,"Gramineae","Rytidosperma","Poales","species","Magnoliopsida"
"Carmichaelia kirkii var. strigosa G.Simpson","NZOR-4-17630","Carmichaelia kirkii","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","variety","Magnoliopsida"
"Asplenium pauperequitum Brownsey & P.J.Jacks.","NZOR-4-85239","Asplenium pauperequitum","Aspleniaceae",,"Aspleniaceae","Asplenium","Polypodiales","species","Polypodiopsida"
"Isotoma rivalis (E.Wimm.) Lammers","NZOR-4-130894","Lobelia ionantha Heenan (E.Wimm.)","Campanulaceae",,"Campanulaceae","Lobelia","Asterales","species","Magnoliopsida"
"Lepidium oligodontum de Lange & Heenan","NZOR-4-131527","Lepidium oligodontum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Carmichaelia fieldii Cockayne","NZOR-4-15759","Carmichaelia juncea","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Zostera novozelandica Setch.","NZOR-4-35182","Zostera muelleri subsp. novazelandica","Zosteraceae",,"Zosteraceae","Zostera","Alismatales","species","Magnoliopsida"
"Isolepis fascicularis (Nees) Kunth","http://id.biodiversity.org.au/node/apni/2897656","Isolepis fluitans","Cyperaceae",,"Cyperaceae","Isolepis","Poales","species","Magnoliopsida"
"Senecio hispidulus sensu A.Cunn.","ALA_Senecio_hispidulus_sensu_A_Cunn","Senecio hispidulus sensu A.Cunn.",,,"Compositae","Senecio","Asterales","species","Magnoliopsida"
"Myosotis petiolata var. pansa L.B.Moore","NZOR-4-10617","Myosotis petiolata var. pansa","Boraginaceae",,"Boraginaceae","Myosotis",,"variety","Magnoliopsida"
"Notospartium torulosum Kirk","NZOR-4-57188","Carmichaelia torulosa","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Senecio sciadophilus Raoul","NZOR-4-30389","Brachyglottis sciadophila","Asteraceae",,"Compositae","Brachyglottis","Asterales","species","Magnoliopsida"
"Lycopodiella serpentina (Kunze) B.Øllg.","http://id.biodiversity.org.au/node/apni/2905113","Lycopodiella serpentina","Lycopodiaceae",,"Lycopodiaceae","Lycopodiella","Lycopodiales","species","Lycopodiopsida"
"Sporadanthus ferrugineus de Lange, Heenan & B.D.Clarkson","NZOR-4-91399","Sporadanthus ferrugineus","Restionaceae",,"Restionaceae","Sporadanthus","Poales","species","Magnoliopsida"
"Mentha cunninghamii Benth.","NZOR-4-100925","Mentha cunninghamii","Lamiaceae",,"Labiatae","Mentha","Lamiales","species","Magnoliopsida"
"Epilobium junceum var. hirtigerum (A.Cunn.) Curtis","http://id.biodiversity.org.au/node/apni/2910254","Epilobium hirtigerum","Onagraceae",,"Onagraceae","Epilobium","Myrtales","variety","Magnoliopsida"
"Carex cirrhosa var. lutescens Kük.","NZOR-4-8628","Carex cirrhosa","Cyperaceae",,"Cyperaceae","Carex","Poales","variety","Magnoliopsida"
"Epilobium junceum var. hirtigerum Hook.f.","http://id.biodiversity.org.au/node/apni/2910254","Epilobium hirtigerum","Onagraceae",,"Onagraceae","Epilobium","Myrtales","variety","Magnoliopsida"
"Lepidium limenophylax de Lange, B.D.Rance & D.A.Norton","NZOR-4-105326","Lepidium limenophylax","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Olearia chathamica Kirk","NZOR-4-49785","Olearia chathamica","Asteraceae",,"Compositae","Olearia","Asterales","species","Magnoliopsida"
"Pachycladon stellatum (Allan) Heenan & A.D.Mitch.","NZOR-4-51416","Pachycladon stellatum",,,"Cruciferae","Pachycladon","Brassicales","species","Magnoliopsida"
"Deyeuxia billardierei var. tenuis Cheeseman","NZOR-4-40541","Lachnagrostis tenuis","Poaceae",,"Gramineae","Lachnagrostis","Poales","variety","Magnoliopsida"
"Tillaea multicaulis Petrie","NZOR-4-119192","Crassula multicaulis","Crassulaceae",,"Crassulaceae","Crassula","Saxifragales","species","Magnoliopsida"
"Pityrogramma leptophylla (L.) Domin","http://id.biodiversity.org.au/node/apni/2911389","Anogramma leptophylla","Pteridaceae",,"Pteridaceae","Anogramma","Polypodiales","species","Polypodiopsida"
"Apera purpurascens Colenso","NZOR-4-33397","Anemanthele lessoniana","Poaceae",,"Gramineae","Anemanthele","Poales","species","Magnoliopsida"
"Obione billardierei Moq.","http://id.biodiversity.org.au/node/apni/2916905","Atriplex billardierei","Chenopodiaceae",,"Amaranthaceae","Atriplex","Caryophyllales","species","Magnoliopsida"
"Allosorus falcatus (R.Br.) Kunze","http://id.biodiversity.org.au/node/apni/2915450","Pellaea falcata","Pteridaceae",,"Pteridaceae","Pellaea","Polypodiales","species","Polypodiopsida"
"Amphibromus fluitans Kirk","http://id.biodiversity.org.au/node/apni/2897596","Amphibromus fluitans","Poaceae",,"Gramineae","Amphibromus","Poales","species","Magnoliopsida"
"Alectryon excelsus var. grandis Cheeseman","NZOR-4-36080","Alectryon excelsus subsp. grandis","Sapindaceae",,"Sapindaceae","Alectryon","Sapindales","variety","Magnoliopsida"
"Anemanthele lessoniana (Steud.) Veldkamp","NZOR-4-33397","Anemanthele lessoniana","Poaceae",,"Gramineae","Anemanthele","Poales","species","Magnoliopsida"
"Carex cardrona Hamlin","NZOR-4-41396","Carex uncifolia","Cyperaceae",,"Cyperaceae","Carex","Poales","species","Magnoliopsida"
"Geranium dissectum var. pilosum Hook.f.","http://id.biodiversity.org.au/node/apni/7387836","Geranium solanderi","Geraniaceae",,"Geraniaceae","Geranium","Geraniales","variety","Magnoliopsida"
"Geranium pilosum Sol. ex Willd.","http://id.biodiversity.org.au/node/apni/7387836","Geranium solanderi","Geraniaceae",,"Geraniaceae","Geranium","Geraniales","species","Magnoliopsida"
"Urtica linearifolia (Hook.f.) Cockayne","http://id.biodiversity.org.au/node/apni/2920322","Urtica incisa","Urticaceae",,"Urticaceae","Urtica","Rosales","species","Magnoliopsida"
"Lagenophora montana Hook.f.","http://id.biodiversity.org.au/node/apni/2891865","Lagenophora montana","Asteraceae",,"Compositae","Lagenifera","Asterales","species","Magnoliopsida"
"Agropyron scabrum var. tenue Buchanan","NZOR-4-89831","Connorochloa tenuis","Poaceae",,"Gramineae","Connorochloa","Poales","variety","Magnoliopsida"
"Parahebe canescens (A.Wall) W.R.B.Oliv.","NZOR-4-56512","Parahebe canescens","Plantaginaceae",,"Plantaginaceae","Parahebe","Lamiales","species","Magnoliopsida"
"Leptinella dispersa subsp. rupestris (D.G.Lloyd) D.G.Lloyd & C.J.Webb","NZOR-4-75647","Leptinella dispersa subsp. rupestris","Asteraceae",,"Compositae","Leptinella","Asterales","subspecies","Magnoliopsida"
"Carmichaelia australis var. ? nana Hook.f.","ALA_Carmichaelia_australis_var_nana_Hook_f","Carmichaelia australis var. ? nana Hook.f.",,,"Leguminosae","Carmichaelia","Fabales","variety","Magnoliopsida"
