"Supplied Name","guid","scientificName","family","kingdom","vernacular name","family","TSC Status","TSC Status Description","taxonRemarks","Reason","category","generalisation"
"Pomaderris adnata N.G. Walsh & F. Coates","http://id.biodiversity.org.au/node/apni/2896205","Pomaderris adnata","Rhamnaceae",,"Sublime Point Pomaderris","Rhamnaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Callocephalon fimbriatum","urn:lsid:biodiversity.org.au:afd.taxon:56514a28-86db-4296-be0f-5f96f46e07c4","Callocephalon fimbriatum","Cacatuidae",,,"Cacatuidae","E2, V","Endangered Population, Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Chiloglottis platyptera D. L. Jones ","http://id.biodiversity.org.au/name/apni/117392","Chiloglottis platyptera",,,"Barrington Tops Ant Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Rhizanthella slateri (Rupp) M.A. Clem. and P.J. Cribb ","http://id.biodiversity.org.au/node/apni/2900261","Rhizanthella slateri","Orchidaceae",,"Eastern Australian Underground Orchid","Orchidaceae","E2, V","Endangered Population, Vulnerable",,"Risk of disturbance and collection","2","10km"
"Hypsela sessiliflora F. Wimmer ","http://id.biodiversity.org.au/node/apni/2897543","Isotoma fluviatilis subsp. fluviatilis","Campanulaceae",,,"Lobeliaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Prasophyllum bagoensis D.L. Jones","http://id.biodiversity.org.au/name/apni/242531","Prasophyllum bagoensis",,,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Oberonia complanata (A. Cunn.) M.A. Clem. & D.L. Jones","http://id.biodiversity.org.au/name/apni/84629","Oberonia complanata",,,"Yellow-flowered King of the Fairies","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Geodorum densiflorum (Lam.) Schltr. ","http://id.biodiversity.org.au/name/apni/80628","Geodorum densiflorum",,,"Pink Nodding Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Pterostylis cobarensis M.A. Clem.","http://id.biodiversity.org.au/node/apni/2907982","Pterostylis cobarensis","Orchidaceae",,"Greenhood Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Cryptostylis hunteriana Nicholls ","http://id.biodiversity.org.au/node/apni/2889169","Cryptostylis hunteriana","Orchidaceae",,"Leafless Tongue Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Grevillea masonii P. Olde & N. Marriott ","http://id.biodiversity.org.au/node/apni/2913810","Grevillea masonii","Proteaceae",,"Mason's Grevillea","Proteaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Banksia conferta A.S.George subsp. conferta","ALA_Banksia_conferta_A_S_George_subsp_conferta","Banksia conferta A.S.George subsp. conferta",,,,"Proteaceae","E4A","Critically Endangered",,"Risk of disturbance","2","10km"
"Pultenaea sp. Genowlan Point (NSW 417813) ","http://id.biodiversity.org.au/node/apni/2891788","Pultenaea sp. Genowlan Point (NSW 417813)","Fabaceae",,,"Fabaceae","E4A","Critically Endangered",,"Risk of disturbance","3","1km"
"Caladenia arenaria Fitzg. ","http://id.biodiversity.org.au/node/apni/2910924","Caladenia arenaria","Orchidaceae",,"Sand-hill Spider Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Prasophyllum retroflexum D.L. Jones","http://id.biodiversity.org.au/name/apni/163861","Prasophyllum retroflexum",,,"Kiandra Leek Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Prasophyllum affine Lindl.","http://id.biodiversity.org.au/node/apni/2901813","Prasophyllum affine","Orchidaceae",,"Jervis Bay Leek Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Elaeocarpus williamsianus Guymer ","http://id.biodiversity.org.au/node/apni/2906669","Elaeocarpus williamsianus","Elaeocarpaceae",,"Hairy Quandong","Elaeocarpaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Typhonium sp. aff. brownii (A.G.Floyd 11/3/1958 North Coast Regional Botanic Garden herbarium 585) ","ALA_Typhonium_sp_aff_brownii_A_G_Floyd_11_3_1958_North_Coast_Regional_Botanic_Garden_herbarium_585","Typhonium sp. aff. brownii (A.G.Floyd 11/3/1958 North Coast Regional Botanic Garden herbarium 585)",,,,"Araceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Prasophyllum petilum D.L. Jones & R.J. Bates","http://id.biodiversity.org.au/node/apni/2899002","Prasophyllum petilum","Orchidaceae",,"Tarengo Leek Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Lindsaea incisa Prent. ","http://id.biodiversity.org.au/node/apni/2892259","Lindsaea incisa","Lindsaeaceae",,"Slender Screw Fern","Lindsaeaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Lastreopsis hispida (Sw.) Tind. ","http://id.biodiversity.org.au/node/apni/2907135","Lastreopsis hispida","Dryopteridaceae",,"Bristly Shield Fern","Dryopteridaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Mixophyes fleayi","urn:lsid:biodiversity.org.au:afd.taxon:08e24bd3-a7f1-4b78-84c2-9ef6db563519","Mixophyes fleayi","Myobatrachidae",,,"Myobatrachidae","E1","Endangered",,"Risk of collection and disease","2","10km"
"Polytelis anthopeplus monarchoides","urn:lsid:biodiversity.org.au:afd.taxon:5ba0d9f3-fa07-4577-8ada-a7e3a51b2792","Polytelis anthopeplus monarchoides","Psittacidae",,"Regent Parrot (eastern subsp.)","Psittacidae","E1","Endangered",,"Risk of egg collection and nest disturbance","3","1km"
"Erythrotriorchis radiatus","urn:lsid:biodiversity.org.au:afd.taxon:1405a1d4-557c-40ac-9f44-a6d41e9136cd","Erythrotriorchis radiatus","Accipitridae",,,"Accipitridae","E4A","Critically Endangered",,"Risk of egg collection and nest disturbance","2","10km"
"Genoplesium littorale D.L.Jones","ALA_Genoplesium_littorale_D_L_Jones","Genoplesium littorale D.L.Jones",,,"Tuncurry Midge Orchid","Orchidaceae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Zieria buxijugum J.D.Briggs & J.A.Armstr.","http://id.biodiversity.org.au/node/apni/2905774","Zieria buxijugum","Rutaceae",,"Box Range Zieria","Rutaceae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Philoria richmondensis ","urn:lsid:biodiversity.org.au:afd.taxon:df58b980-3068-4491-81d5-74a6512047cf","Philoria richmondensis","Limnodynastidae",,,"Myobatrachidae","E1","Endangered",,"Risk of collection and disease","2","10km"
"Davidsonia jerseyana (F.Muell. ex F.M.Bailey) G. Harden & J.B. Williams","http://id.biodiversity.org.au/node/apni/2918807","Davidsonia jerseyana","Cunoniaceae",,"Davidson's Plum","Davidsoniaceae","E1","Endangered",,"Risk of disturbance","2","10km"
"Angiopteris evecta Hoffm. ","http://id.biodiversity.org.au/node/apni/2889929","Angiopteris evecta","Marattiaceae",,,"Marattiaceae","E1","Endangered",,"Risk of disturbance","2","10km"
"Diuris aequalis F. Muell. ex Fitzg. ","http://id.biodiversity.org.au/node/apni/2896378","Diuris aequalis","Orchidaceae",,"Buttercup Doubletail","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Pterostylis cucullata R. Br. ","http://id.biodiversity.org.au/node/apni/2919373","Pterostylis cucullata","Orchidaceae",,"Leafy Greenhood","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Prasophyllum sp. Majors Creek (Jones 11084)","ALA_Prasophyllum_sp_Majors_Creek_Jones_11084","Prasophyllum sp. Majors Creek (Jones 11084)",,,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Microtis angusii D.L. Jones","http://id.biodiversity.org.au/node/apni/2909333","Microtis angusii","Orchidaceae",,"Angus's Onion Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Drynaria rigidula (Sw.) Beddome ","http://id.biodiversity.org.au/node/apni/2904164","Drynaria rigidula","Polypodiaceae",,"Basket Fern","Polypodiaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Zieria formosa J.D.Briggs & J.A.Armstr.","http://id.biodiversity.org.au/node/apni/2911487","Zieria formosa","Rutaceae",,"Shapely Zieria","Rutaceae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Ninox strenua","urn:lsid:biodiversity.org.au:afd.taxon:c303a58c-ffb9-4bf6-a71b-5e22299c5ee2","Ninox (Rhabdoglaux) strenua","Strigidae",,,"Strigidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Pterostylis bicornis D.L.Jones & M.A.Clem.","http://id.biodiversity.org.au/node/apni/2887742","Pterostylis bicornis","Orchidaceae",,,"Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Nurus brevis","urn:lsid:biodiversity.org.au:afd.taxon:4a0e4e8f-67dc-4f66-8d99-feca241052d5","Nurus brevis","Carabidae",,"Shorter Rainforest Ground-beetle","Carabidae","E1","Endangered",,"Risk of collection and disturbance","3","1km"
"Angophora exul K.D. Hill ","http://id.biodiversity.org.au/node/apni/2913071","Angophora bakeri subsp. bakeri","Myrtaceae",,"Gibraltar Rock Apple","Myrtaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Corunastylis sp. Charmhaven (NSW896673)","ALA_Corunastylis_sp_Charmhaven_NSW896673","Corunastylis sp. Charmhaven (NSW896673)",,,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Nurus atlas","urn:lsid:biodiversity.org.au:afd.taxon:27f5e114-2cca-4f59-b404-8225b5277ae2","Nurus atlas","Carabidae",,"Atlas Rainforest Ground-beetle","Carabidae","E1","Endangered",,"Risk of collection and disturbance","3","1km"
"Genoplesium vernale D.L.Jones ","http://id.biodiversity.org.au/node/apni/2911430","Genoplesium vernale","Orchidaceae",,"East Lynne Midge Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Pultenaea sp. Olinda (R.G. Coveny 6616) ","ALA_Pultenaea_sp_Olinda_R_G_Coveny_6616","Pultenaea sp. Olinda (R.G. Coveny 6616)",,,,"Fabaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Genoplesium baueri R. Br.","http://id.biodiversity.org.au/name/apni/66142","Genoplesium baueri",,,"Bauer's Midge Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Acacia dangarensis Tindale & Kodela","http://id.biodiversity.org.au/node/apni/2915433","Acacia dangarensis","Fabaceae",,,"Fabaceae","E1","Endangered",,"Risk of disturbance","3","1km"
